A,Country,Final_SDG_Score
1,Kazakhstan,0.9999999999999999
2,Kyrgyzstan,0.9790143824824078
3,Oman,0.9727488112277008
4,Bahrain,0.9701385427629989
5,Qatar,0.9664505864005142
6,Monaco,0.9491007398721496
7,Andorra,0.9403463082305882
8,North Macedonia,0.9197515333707549
9,Albania,0.913085536
10,Lebanon,0.9016531532344724
11,Bosnia and Herzegovina,0.9013880898819026
12,Costa Rica,0.8972821373674832
13,Israel,0.8937116086634264
14,Tunisia,0.8916364564583835
15,Jordan,0.8880495427379214
16,Colombia,0.8862710113581184
17,Egypt,0.8861246517080879
18,Armenia,0.8856393084386054
19,Cyprus,0.8846062035534514
20,Luxembourg,0.8834338086602699
21,Nicaragua,0.8809809415005126
22,Tajikistan,0.8797274747359869
23,Belarus,0.8717952408182633
24,Singapore,0.8707504729498101
25,Algeria,0.870579721
26,Montenegro,0.8701584005149587
27,State of Palestine,0.8699795270918707
28,China,0.8672376903564669
29,Republic of Moldova,0.8662948695442485
30,Italy,0.8654687567919845
31,Azerbaijan,0.8647652276408827
32,Malta,0.8597923841283381
33,Serbia,0.8593181696399959
34,Greece,0.8533959773506381
35,Finland,0.8516994251333794
36,Denmark,0.8511772558672694
37,Georgia,0.846842667
38,Austria,0.8449763186282493
39,Ireland,0.8441219001263909
40,New Zealand,0.8430996077889957
41,Norway,0.8401197759592175
42,Slovakia,0.8388542747096699
43,Iceland,0.8384958307292681
44,United Kingdom of Great Britain and Northern Ireland,0.837645281
45,Northern Africa and Western Asia,0.8374601409215423
46,Japan,0.8370458710231228
47,Canada,0.8352762605140496
48,Sweden,0.8352036128730049
49,Eastern and South-Eastern Asia,0.8344323078412934
50,Turkmenistan,0.8325203646571481
51,Netherlands (Kingdom of the),0.8316909483660332
52,Estonia,0.8311860731002256
53,Paraguay,0.8296228806795533
54,Maldives,0.8286784805219343
55,Switzerland,0.8284284791873877
56,India,0.8277589772756064
57,Ukraine,0.8271969354611939
58,Grenada,0.8271848620492857
59,Uzbekistan,0.8271242273863608
60,Czechia,0.8259402478213769
61,Portugal,0.8216751198299629
62,Slovenia,0.8177237077534267
63,Germany,0.8160417275910437
64,World,0.815883526
65,El Salvador,0.8155727074716121
66,Saudi Arabia,0.8141413382777865
67,Belgium,0.8134550572019201
68,France,0.8132837722110275
69,Saint Kitts and Nevis,0.8115133106012944
70,Europe and Northern America,0.8088557263274555
71,Malaysia,0.807608567
72,Russian Federation,0.8068001681174329
73,Latvia,0.8046219973071127
74,Chile,0.8039677900056418
75,Morocco,0.8023818372424026
76,Bhutan,0.7986801414979203
77,Mexico,0.7974514224817529
78,Saint Lucia,0.7956543546674801
79,Lithuania,0.7914250717783996
80,Croatia,0.790521599
81,Romania,0.7860507017425473
82,Bulgaria,0.7858833688776964
83,Belize,0.7836463938292466
84,Mongolia,0.7795455212139656
85,Hungary,0.7783624370764833
86,Poland,0.777364263
87,Honduras,0.7757963543508691
88,Indonesia,0.7754444530178914
89,Republic of Korea,0.7645062551980587
